名称,住所,営業日,電話番号
ぶっちぎり酒場 渋谷スペイン坂店,〒150-0042 東京都渋谷区宇田川町13-7 小安ビル6F, 16:00～22:00(L.O.21:30、ドリンクL.O.21:30),050-5485-8447
赤から 渋谷宮益坂店,〒150-0002 東京都渋谷区渋谷1-14-8 宮益エスケービルB1,"月～金 ディナー：16:00～23:30
土・日・祝 15:00～23:30(【営業時間変更のお知らせ】  東京都からの営業時間短縮要請により、1月11日(月)まで22時閉店とさせていただきます。)",050-5484-3019
つばめグリル 渋谷マークシティ店,〒150-0043 東京都渋谷区道玄坂1-12-3 渋谷マークシティ RESTAURANTS AVENUE 4F," ランチ：11:00～17:00(※平日 月〜金（祝日を除く）11：00〜17：00はランチ限定メニューあり)
月～日 ディナー：17:00～23:00(L.O.22:00)(3月末迄は22時閉店とさせていただきます。)",050-5489-3336
やきとりセンター 渋谷センター街店,〒150-0042 東京都渋谷区宇田川町34-5 サイトービルIII B1, 17:00～24:00(L.O.23:00、ドリンクL.O.23:30)(※東京都の時間短縮営業要請に伴い、11/28～は全日 12:00～22:00 にて営業致します。  ※営業時間・メニュー内容は変更になる場合がございます。詳細は店舗までお問合せください。),050-5485-9785
渋谷ベルゴ,〒150-0002 東京都渋谷区渋谷3-18-7 渋谷東1号館ビルB1,"月～金 17:00～24:00(L.O.23:00、ドリンクL.O.23:30)
土・日・祝 16:00～24:00(L.O.23:00、ドリンクL.O.23:30)",050-5485-2210
博多 もつ楽 渋谷店,〒150-0042 東京都渋谷区宇田川町26-3 サンルイビルB1,"月～土・祝前日 17:00～23:00(L.O.22:00、ドリンクL.O.22:30)
日・祝日 16:00～23:00(L.O.22:00、ドリンクL.O.22:30)(◆2020年12月30日〜2021年1月2日は以下営業時間となります◆  16:00～23:00（L.O.22:00、ドリンクL.O.22:30）)",050-5485-0346
チアガール居酒屋 ‐Cheer up Tokyo‐ 渋谷道玄坂,〒150-0043 東京都渋谷区道玄坂2-7-4 清水ビル2F,月～日・祝前日・祝日 18:30～24:00,050-5485-7339
べるまっしゅ,〒150-0036 東京都渋谷区南平台町13-1 佐藤ビルB1,"月～土 ランチ：11:30～14:30(L.O.14:00)
月～土 ディナー：16:30～24:00(L.O.23:00、ドリンクL.O.23:30)(コロナウィルスの影響により営業時間が変わる場合がございます。)",03-3461-0708
串だおれ 渋谷桜丘店,〒150-0031 東京都渋谷区桜丘町15-19 第8東都ビル3F,"月～金 16:00～翌1:00(L.O.24:00、ドリンクL.O.24:15)
土 13:00～翌1:00(L.O.24:00、ドリンクL.O.24:15)
日 12:00～24:00",050-5494-0490
串だおれ 渋谷 宮益坂店,〒150-0002 東京都渋谷区渋谷1-12-7 CR-VITE2F,"月～金 ランチ：11:00～15:00、ディナー：17:00～24:00
土・日・祝 15:00～23:00",050-5494-0491
ホブゴブリン渋谷,〒150-0043 東京都渋谷区道玄坂1-3-11 一番ビル3F,"月～金・祝前日 17:00～翌1:00
土・日・祝日 12:00～翌1:00",050-5494-1258
biodinamico（ビオディナミコ）,〒150-0041 東京都渋谷区神南1-19-14 クリスタルポイントビル3F, ランチ：11:30～14:30(L.O.14:00)、ディナー：17:30～22:00(L.O.21:00),050-5487-6819
真巴石‐シンバセイ‐ 薬膳火鍋 しゃぶしゃぶ 渋谷店,〒150-0042 東京都渋谷区宇田川町33-12 5F,月～日・祝前日・祝日 12:00～23:30(L.O.23:00、ドリンクL.O.23:00),050-5484-7369
